date	cost	type	shop	record
31.01.2016	25.00	PPTQ	Comic-Tempel
05.02.2016	12.00	Draft	Comic-Tempel
12.02.2016	12.00	Draft	Comic-Tempel
19.02.2016	12.00	Draft	TCG Portal
04.03.2016	-24.00	Sell	MKM
04.03.2016	12.00	Draft	TCG Portal
11.03.2016	12.00	Draft	TCG Portal
12.03.2016	10.99	Zilong1603	Magic Online
21.03.2016	15.00	Draft	TCG Portal
25.03.2016	12.00	Draft	TCG Portal
02.04.2016	38.00	Prerelease	ReckenEcke
03.04.2016	25.00	Prerelease	TCG Portal
08.04.2016	12.00	Draft	TCG Portal
10.04.2016	25.00	GPT	Comic-Tempel
15.04.2016	12.00	Draft	TCG Portal
29.04.2016	12.00	Draft	TCG Portal
01.05.2016	 5.00	Game Day	TCG Portal
06.05.2016	12.00	Draft	TCG Portal
08.05.2016	15.00	Draft	TCG Portal
09.05.2016	15.00	Draft	TCG Portal
13.05.2016	12.00	Draft	TCG Portal
20.05.2016	12.00	Draft	TCG Portal
28.05.2016	 0.00	RPTQ	Auenland
03.06.2016	12.00	Draft	TCG Portal
13.06.2016	30.00	Draft	TCG Portal
24.06.2016	30.00	Draft	TCG Portal
02.07.2016	10.99	Zilong1607	Magic Online
08.07.2016	12.00	Draft	TCG Portal
16.07.2016	38.00	Prerelease	ReckenEcke
17.07.2016	25.00	Prerelease	TCG Portal
22.07.2016	12.00	Draft	TCG Portal
23.07.2016	28.00	PPTQ	SpielFilmMusik
05.08.2016	12.00	Draft	TCG Portal
07.08.2016	28.00	PPTQ	TCG Portal
19.08.2016	12.00	Draft	TCG Portal
02.09.2016	12.00	Draft	ReckenEcke
09.09.2016	12.00	Draft	ReckenEcke
10.09.2016	28.00	PPTQ	ReckenEcke
24.09.2016	39.00	Prerelease	ReckenEcke
25.09.2016	25.00	Prerelease	TCG Portal
30.09.2016	12.00	Draft	TCG Portal
01.10.2016	28.00	PPTQ	XGames Chemnitz
03.10.2016	12.00	Draft	TCG Portal
07.10.2016	12.00	Draft	TCG Portal
07.10.2016	12.00	Draft	TCG Portal
14.10.2016	12.00	Draft	TCG Portal
21.10.2016	12.00	Draft	TCG Portal
23.10.2016	 5.00	Game Day	TCG Portal
28.10.2016	12.00	Draft	TCG Portal
11.11.2016	30.00	Sealed	GP Rotterdam
13.11.2016	25.00	Team Sealed	GP Rotterdam
13.11.2016	14.00	2HG Draft	GP Rotterdam
25.11.2016	12.00	Draft	ReckenEcke
30.12.2016	12.00	Draft	TCG Portal
09.01.2017	12.00	Draft	TCG Portal
14.01.2017	39.00	Prerelease	ReckenEcke
15.01.2017	25.00	Prerelease	TCG Portal
20.01.2017	12.00	Draft	TCG Portal
22.01.2017	28.00	PPTQ	TCG Portal
27.01.2017	12.00	Draft	Cerny Rytir Praha
28.01.2017	65.00	Sealed	GP Prag
29.01.2017	14.00	2HG Draft	GP Prag
29.01.2017	30.00	Sealed	GP Prag
10.02.2017	12.00	Draft	TCG Portal
17.02.2017	12.00	Draft	TCG Portal
19.02.2017	12.00	Draft	TCG Portal
24.02.2017	12.00	Draft	TCG Portal
03.03.2017	12.00	Draft	TCG Portal
10.03.2017	12.00	Draft	TCG Portal
18.03.2017	28.00	PPTQ	XGames Chemnitz
19.03.2017	75.00	Sealed	TCG Portal
24.03.2017	12.00	Draft	TCG Portal
01.04.2017	30.00	PPTQ	TCG Warehouse
07.04.2017	12.00	Draft	TCG Portal
04.04.2017	-7.95	Sell	MKM
31.03.2017	-36.90	Sell	MKM
31.03.2017	-12.95	Sell	MKM
30.03.2017	-41.80	Sell	MKM
02.04.2017	-9.95	Sell	MKM
30.03.2017	-18.95	Sell	MKM
01.04.2017	-8.95	Sell	MKM
01.04.2017	-43.85	Sell	MKM
31.03.2017	-38.95	Sell	MKM
31.03.2017	-28.85	Sell	MKM
30.03.2017	-49.85	Sell	MKM
30.03.2017	-110.90	Sell	MKM
08.04.2017	-28.00	Chaos-Draft	TCG Portal
01.04.2017	-60.95	Sell	MKM
08.04.2017	-10.95	Sell	MKM
10.04.2017	-14.95	Sell	MKM
11.04.2017	-28.95	Sell	MKM
18.04.2017	-4.95	Sell	MKM
22.04.2017	39.00	Prerelease	ReckenEcke
23.04.2017	25.00	Prerelease	TCG Portal
23.04.2017	25.00	Prerelease	TCG Portal
28.04.2017	12.00	Draft	Fantastische Welten
30.04.2017	28.00	PPTQ	TCG Portal
05.05.2017	25.00	Sealed	GP Bologna
05.05.2017	-35.00	Sell	Paul
06.05.2017	65.00	Sealed	GP Bologna
12.05.2017	12.00	Draft	TCG Portal
26.05.2017	12.00	Draft	TCG Portal
02.06.2017	12.00	Draft	TCG Portal
05.06.2017	12.00	Draft	TCG Portal
24.06.2017	30.00	PPTQ	TCG Warehouse
30.06.2017	12.00	Draft	TCG Portal
08.07.2017	25.00	Prerelease	TCG Portal
09.07.2017	25.00	Prerelease	TCG Portal
14.07.2017	12.00	Draft	TCG Portal
18.08.2017	12.00	Draft	Hiveworld
26.08.2017	75.00	Sealed	GP Metz
01.09.2017	12.00	Draft	TCG Portal
08.09.2017	20.00	Sealed	TCG Portal
15.09.2017	12.00	Draft	TCG Portal
22.09.2017	20.00	Sealed	TCG Portal
22.09.2017	-25.00	Sell	Daniel
23.09.2017	25.00	Prerelease	ReckenEcke
24.09.2017	22.50	Prerelease	ReckenEcke
29.09.2017	12.00	Draft	TCG Portal
29.09.2017	-2.50	Sell	Thomas
06.10.2017	12.00	Draft	TCG Portal
06.10.2017	12.00	Draft	TCG Portal
10.10.2017	19.78	Faulo	Magic Online
